Period,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China (People’s Republic of),Colombia,Costa Rica,Czechia,Denmark,Estonia,Euro area (20 countries),European Union (27 countries from 01/02/2020),Finland,France,G20,G7,Germany,Greece,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,NAFTA,Netherlands,New Zealand,Norway,OECD,OECD Europe,Poland,Portugal,Russia,Saudi Arabia,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1957-Q3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-0.024742766,0.039776794
1957-Q4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.011273471,-0.04074379
1958-Q1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.091468353,-0.099862433
1958-Q2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-0.096784653,0.026535999
1958-Q3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.091704985,0.095784524
1958-Q4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.010849586,0.096861026
1959-Q1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.024923441,0.078972802
1959-Q2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.066149264,0.09323015
1959-Q3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.087828515,0.002791988
1959-Q4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.105554118,0.011448049
1960-Q1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.103616252,0.09302462
1960-Q2,-100,0.114729802,0.096907108,0.0501876,-100,-100,-100,-100,-100,-100,-100,0.025145799,-100,-100,-100,0.091860091,0.015113308,-100,-100,0.073109114,0.143959718,-100,-0.01424352,-100,-100,-100,0.060009121,0.007394174,0.192336273,-100,-100,0.044020082,0.040527146,-100,0.0967118,-100,0.030947207,-100,-100,-100,0.02613071,-100,-100,-100,-100,0.066842309,0.084805495,0.055322328,0.083611294,-100,-0.027763549,-0.021361017
1960-Q3,-100,0.009054896,0.051156278,0.049843145,-100,-100,-100,-100,-100,-100,-100,0.041446787,-100,-100,-100,0.045391763,0.030280326,-100,-100,0.145603307,0.13976661,-100,-0.014372534,-100,-100,-100,0.060052242,0.144621661,-0.043726654,-100,-100,0.043784075,0.040344425,-100,-0.066685597,-100,0.049856847,-100,-100,-100,0.037600807,-100,-100,-100,-100,0.075766118,0.11667808,0.066650108,0.154899579,-100,0.060935933,0.01974174
1960-Q4,-100,-0.007688055,0.056615567,0.049503724,-100,-100,-100,-100,-100,-100,-100,0.057504177,-100,-100,-100,0.080080443,0.048258233,-100,-100,0.041513784,0.135827331,-100,-0.014502753,-100,-100,-100,0.00307374,0.162831654,0.024066146,-100,-100,0.043550534,0.040163113,-100,0.045265992,-100,0.068413022,-100,-100,-100,0.048876217,-100,-100,-100,-100,0.040070961,0.082984896,0.076979439,0.001756774,-100,0.023450519,-0.050345814
1961-Q1,-100,0.012030567,0.117046299,0.048599299,-100,-100,-100,-100,-100,-100,-100,0.073122068,-100,-100,-100,0.14680189,0.065903771,-100,-100,0.041087415,0.129786354,-100,-0.014015355,-100,-100,-100,0.151198518,0.127247788,0.134316859,-100,-100,0.042635636,0.039507988,-100,0.013972185,-100,0.086356223,-100,-100,-100,0.059864821,-100,-100,-100,-100,0.029329967,0.119328473,0.079730521,0.14406531,-100,0.067145809,0.027275341
1961-Q2,-100,-0.043119733,-0.013925037,0.047510275,-100,0.10519752,-100,-100,-100,-100,-100,0.073979708,-100,-100,-100,0.029813358,0.065566263,-100,-100,-0.021399477,0.125078498,-100,-0.014369832,-100,-100,-100,0.087342981,0.088019882,0.184160994,-100,-100,0.041921427,0.038723845,-100,-0.054568802,-100,0.066445235,-100,0.034371097,-100,0.062713401,-100,-100,-100,-100,-0.017365223,0.189833661,0.014619952,0.055335385,-100,0.016661284,0.069663474
1961-Q3,-100,-0.028437382,0.051213235,0.052014613,-100,0.100947539,-100,-100,-100,-100,-100,0.074771792,-100,-100,-100,0.020719202,0.065226047,-100,-100,0.084662975,0.051377105,-100,0.039749272,-100,-100,-100,0.096535761,0.078994069,-0.071035182,-100,-100,0.024648868,0.040914865,-100,0.004688711,-100,0.047796681,-100,0.053857707,-100,0.065425859,-100,-100,-100,-100,0.092383272,0.084236267,0.056632806,0.050618467,-100,-0.019678966,0.079055778
1961-Q4,-100,0.04621109,0.009150762,0.056397947,-100,0.055539856,-100,-100,-100,-100,-100,0.075494829,-100,-100,-100,0.093566921,0.069712585,-100,-100,0.018349106,-0.01999812,-100,0.099048395,-100,-100,-100,0.078750005,0.196539095,0.052899894,-100,-100,0.006618385,0.042968669,-100,0.065770555,-100,0.030092627,-100,0.042818903,-100,0.068003936,-100,-100,-100,-100,0.036858789,0.11773605,0.020282886,0.080652306,-100,-0.007528752,0.080806016
1962-Q1,-100,0.117092836,0.059829726,0.054976043,-100,0.110762267,-100,-100,-100,-100,-100,0.076157982,-100,-100,-100,0.054971901,0.073979226,-100,-100,0.060249393,-0.020053676,-100,0.096288563,-100,-100,-100,0.060524524,0.05478684,0.082089662,-100,-100,0.006428201,0.042201791,-100,0.113361043,-100,0.013066436,-100,0.054065956,-100,0.070443541,-100,-100,-100,-100,0.107547164,0.098034663,0.011133778,0.023215258,-100,0.017398485,0.0732782
